ds,yhat,yhat_lower,yhat_upper
16-01-2016,1187.163447,-7607.463221,9131.80998
17-01-2016,1134.424728,-7105.855529,9326.045495
18-01-2016,1121.545395,-7331.555697,9327.042906
19-01-2016,1001.031551,-7692.613508,8505.750006
20-01-2016,1039.448417,-7473.52725,10238.06505
21-01-2016,914.0901209,-7930.752998,9620.270651
22-01-2016,851.4778854,-6726.624811,9404.503521
23-01-2016,789.5329839,-7277.570571,8973.957972
24-01-2016,752.1835231,-7362.067664,8939.971855
25-01-2016,764.2230241,-7997.721734,9183.313507
26-01-2016,678.0055548,-7653.206997,9274.162057
27-01-2016,759.7088925,-7776.969821,8893.990104
28-01-2016,686.0084264,-7417.966791,8723.739555
29-01-2016,682.5857897,-7457.792886,8891.648414
30-01-2016,686.3184083,-6858.482776,8809.704342
31-01-2016,719.9086857,-7078.484164,9316.467138
01-02-2016,806.7702755,-7435.548546,9001.422929
02-02-2016,797.7555236,-7261.647798,8786.335855
03-02-2016,957.4547457,-7250.510659,10129.76499
04-02-2016,960.9091233,-7238.884937,8936.069862
05-02-2016,1032.160183,-7531.967144,9293.549747
06-02-2016,1106.480957,-7054.869841,9324.690568
07-02-2016,1205.046432,-6936.839972,10183.13387
08-02-2016,1349.859588,-7094.591562,9750.189128
09-02-2016,1390.516038,-7106.205148,9990.00921
10-02-2016,1590.536873,-6630.76736,9421.519603
11-02-2016,1624.110546,-6249.333288,9501.347518
12-02-2016,1714.665936,-6863.052376,10040.15593
13-02-2016,1797.120982,-6506.089172,10002.71803
14-02-2016,1892.563965,-6725.781864,10251.77926
15-02-2016,2023.183386,-6091.676661,10271.79151
16-02-2016,2039.029288,-6097.147404,10099.49365
17-02-2016,2204.335646,-5612.964319,9903.531913
18-02-2016,2194.244902,-6461.884151,10471.37789
19-02-2016,2233.357184,-5698.663924,9962.813922
20-02-2016,2257.95323,-5743.615802,10663.30866
21-02-2016,2290.628793,-5991.154486,10024.53089
22-02-2016,2355.197508,-5684.684282,10581.36271
23-02-2016,2303.405972,-6257.502372,10503.0565
24-02-2016,2401.211871,-5680.798777,10774.58377
25-02-2016,2325.463385,-5354.518152,11135.35733
26-02-2016,2302.40365,-6060.348719,10619.34879
27-02-2016,2269.846486,-6009.225241,10829.45489
